fawn,fawned
agglomerate,agglomerated
escalade,escaladed
vitrify,vitrified
vellicate,vellicated
bewilder,bewildered
parley,parleyed
chrome,chromed
subside,subsided
advert,adverted
privilege,privileged
fry,fried
mothball,mothballed
counterattack,counterattacked
retrospect,retrospected
spit,spit
intermarry,intermarried
wish,wished
snap,snapped
joust,jousted
lift,lifted
incommode,incommoded
toboggan,tobogganed
dote,doted
spin,spun
chill,chilled
dissect,dissected
contemn,contemned
employ,employed
prostrate,prostrated
misdeal,misdealt
phosphoresce,phosphoresced
elicit,elicited
transfuse,transfused
hone,honed
remand,remanded
decant,decanted
split,split
rebound,rebounded
refit,refitted
titivate,titivated
tope,toped
tune,tuned
furlough,furloughed
unhook,unhooked
subpoena,subpoenaed
abound,abounded
bellow,bellowed
distribute,distributed
beset,beset
disguise,disguised
prognosticate,prognosticated
plight,plighted
brandish,brandished
lasso,lassoed
ham,hammed
aquaplane,aquaplaned
ease,eased
hay,hayed
falter,faltered
hat,hatted
haw,hawed
footle,footled
birth,birthed
roister,roistered
shadow,shadowed
summons,summoned
desire,desired
altercate,altercated
remind,reminded
right,righted
crowd,crowded
people,peopled
crown,crowned
outgeneral,outgeneralled
mountaineer,mountaineered
animate,animated
creep,crept
chorus,chorused
bottom,bottomed
rehearse,rehearsed
fox,foxed
fog,fogged
fob,fobbed
germinate,germinated
nigrify,nigrified
regorge,regorged
yoke,yoked
slither,slithered
recollect,recollected
reticulate,reticulated
despair,despaired
rebut,rebutted
sob,sobbed
overshadow,overshadowed
honeymoon,honeymooned
overgrow,overgrew
administer,administered
sop,sopped
inhume,inhumed
swelter,sweltered
sow,sowed
mambo,mamboed
resile,resiled
support,supported
decussate,decussated
tame,tamed
avail,availed
furcate,furcated
tamp,tamped
overhang,overhung
subtend,subtended
offer,
straggle,straggled
safeguard,safeguarded
duel,duelled
misinform,misinformed
transliterate,transliterated
rerun,reran
discountenance,discountenanced
disgrace,disgraced
suborn,suborned
mirror,mirrored
unnerve,unnerved
crumble,crumbled
soothe,soothed
exist,existed
splotch,splotched
leer,leed
floor,floored
desalt,desalted
flood,flooded
desecrate,desecrated
snick,snicked
smell,smelt
roll,rolled
intend,intended
valuate,valuated
asterisk,asterisked
foxhunt,foxhunted
objectify,objectified
snooze,snoozed
lunge,lunged
expropriate,expropriated
time,timed
push,pushed
gown,gowned
japan,japanned
chain,chained
ruddle,ruddled
avalanche,avalanched
shimmy,shimmied
convoy,convoyed
chair,chaired
retrofit,retrofitted
vet,vetted
freelance,freelanced
vex,vexed
splutter,spluttered
persevere,persevered
jerk,jerked
argufy,argufied
refinance,refinanced
embark,embarked
retouch,retouched
mourn,mourned
bustle,bustled
exact,exacted
overstock,overstocked
disembody,disembodied
tear,tore
overarch,overarched
cyclostyle,cyclostyled
leave,leaved
settle,settled
stockade,stockaded
team,teamed
skewer,skewed
prevent,prevented
sigh,sighed
sign,signed
educate,educated
sequestrate,sequestrated
convulse,convulsed
melt,melted
wriggle,wriggled
boost,boosted
meld,melded
abscond,absconded
contemplate,contemplated
gnaw,gnawn
splice,spliced
address,addrest
sublease,subleased
fledge,fledged
endow,endowed
queue,queueed
reclaim,reclaimed
love,loved
prefer,preferred
bloody,bloodied
abash,abashed
fake,faked
unlash,unlashed
abase,abased
dangle,dangled
annunciate,annunciated
afford,afforded
reprise,reprised
refrain,refrained
degrade,degraded
honey,honied
embower,embowered
pretend,pretended
strain,strained
dissimilate,dissimilated
dispossess,dispossessed
circumambulate,circumambulated
embrocate,embrocated
parachute,parachuted
winter,wintered
hatchel,hatcheled
cavil,cavilled
slush,slushed
spot,spotted
rehabilitate,rehabilitated
date,dated
suck,sucked
stress,stressed
correlate,correlated
truck,trucked
skirmish,skirmished
damage,damaged
course,coursed
yearn,yearned
ogle,ogled
horrify,horrified
bulldoze,bulldozed
jig,jigged
derive,derived
jib,jibbed
solace,solaced
celebrate,celebrated
thump,thumped
petition,petitioned
bedevil,bedevilled
sublimate,sublimated
hiccough,hiccoughed
plunk,plunked
frank,franked
revert,reverted
englut,englutted
amnesty,amnestied
quarter,quartered
revere,revered
turtle,turtled
concertina,concertinaed
square,squared
retrieve,retrieved
edify,edified
receipt,receipted
fireproof,fireproofed
asseverate,asseverated
sponsor,sponsored
beetle,beetled
troll,trolled
jounce,jounced
besprinkle,besprinkled
abide,abode
intermix,intermixed
intermit,intermitted
hibernate,hibernated
envelop,enveloped
reshuffle,reshuffled
disrespect,disrespected
snooker,snookered
mime,mimed
remainder,remaindered
chevy,chevied
initiate,initiated
enkindle,enkindled
punt,punted
quibble,quibbled
neglect,neglected
potter,pottered
reopen,reopened
chide,chided
vote,voted
open,opened
languish,languished
bite,bited
dandify,dandified
indicate,indicated
shiver,shivered
draft,banked
dissipate,dissipated
foreclose,foreclosed
bitt,
cite,cited
bedeck,bedecked
blazon,blazoned
snatch,snatched
indwell,indwelt
poultice,poulticed
cower,cowered
stammer,stammered
winkle,winkled
prospect,prospected
smutch,smutched
sag,sagged
necrose,necrosed
say,said
sap,sapped
perplex,perplexed
aspirate,aspirated
knead,kneaded
note,noted
unlearn,unlearnt
bedazzle,bedazzled
take,took
destroy,destroyed
coincide,coincided
offload,offloaded
buffer,buffed
compress,compressed
buffet,buffeted
abut,abutted
crochet,crocheted
enamel,enamelled
average,averaged
drive,drove
squint,squinted
salt,salted
intoxicate,intoxicated
tumefy,tumefied
infuriate,infuriated
mince,minced
merit,merited
slot,slotted
slow,slowed
slop,slopped
transact,transacted
cloak,cloaked
debunk,debunked
slog,slogged
outrage,outraged
robe,robed
dispute,disputed
clank,clanked
clang,clanged
yammer,yammered
prime,primed
pimp,pimped
assimilate,assimilated
brominate,brominated
borrow,borrowed
obsolesce,obsolesced
primp,primped
uncover,uncovered
disparage,disparaged
espy,espied
expiate,expiated
copyedit,copyedited
interpellate,interpellated
diddle,diddled
bootleg,bootlegged
heterodyne,heterodyned
mope,moped
presage,presaged
forsake,forsook
distrain,distrained
screen,screened
concentrate,concentrated
spare,spared
spark,sparked
undermine,undermined
quack,quacked
oust,ousted
contuse,contused
belie,belied
checkrow,checkrowed
calumniate,calumniated
allowance,allowanced
riddle,riddled
twit,twitted
twin,twinned
broil,broiled
ante,anteed
twig,twigged
boat,boated
stretch,stretched
vacation,vacationed
concede,conceded
luff,luffed
enable,enabled
observe,observed
transmogrify,transmogrified
diffuse,diffused
profane,profaned
trepan,trepanned
straighten,straightened
hypertrophy,hypertrophied
spotlight,spotlit
girth,girthed
perpetuate,perpetuated
canoe,canoed
purse,pursed
blat,blatted
imbricate,imbricated
blab,blabbed
reanimate,reanimated
excogitate,excogitated
underestimate,underestimated
nuzzle,nuzzled
defy,defied
deflate,deflated
bulletproof,bulletproofed
barber,barbered
disown,disowned
recapture,recaptured
clobber,clobbered
dimension,dimensioned
summer,summered
manifold,manifolded
poach,poached
disconcert,disconcerted
slime,slimed
rest,rested
amalgamate,amalgamated
disperse,dispersed
vamp,vamped
parlay,parlayed
underline,underlined
overthrow,overthrew
undercharge,undercharged
cerebrate,cerebrated
rejoin,rejoined
dart,darted
retract,retracted
snarl,snarled
traffic,trafficked
darn,darned
vacuum,vacuumed
snare,snared
dare,dared
debark,debarked
clam,clammed
expunge,expunged
shutter,shuttered
immolate,immolated
militate,militated
claw,clawed
inter,interred
kennel,kennelled
clap,clapped
obstruct,obstructed
grub,grubbed
debilitate,debilitated
wattle,wattled
asperse,aspersed
vivisect,vivisected
shadowbox,shadowboxed
surtax,surtaxed
divine,divined
authenticate,authenticated
tote,toted
tube,tubed
exit,exited
situate,situated
refer,referred
squabble,squabbled
power,powered
intimate,intimated
ration,rationed
poise,poised
stone,stoned
package,packaged
fishtail,fishtailed
act,acted
bond,bonded
rebuild,rebuilt
impregnate,impregnated
potentiate,potentiated
image,imaged
acuminate,acuminated
inculcate,inculcated
pivot,pivoted
hew,hewed
gleam,gleamed
glean,gleaned
hex,hexed
mollify,mollified
bubble,bubbled
complete,completed
outcrop,outcropped
defrost,defrosted
kotow,kotowed
whinny,whinnied
amplify,amplified
pull,pulled
rush,rushed
mislay,mislaid
rage,raged
pule,puled
attenuate,attenuated
flirt,flirted
impute,imputed
dirty,dirtied
reprimand,reprimanded
suppurate,suppurated
agree,agreed
rust,rusted
migrate,migrated
impugn,impugned
creak,creaked
tremble,trembled
besmear,besmeared
slobber,slobbered
cream,creamed
abolish,abolished
whip,whipped
indemnify,indemnified
annex,annexed
objurgate,objurgated
slant,slanted
ankylose,ankylosed
snitch,snitched
resell,resold
slang,slanged
neuter,neutered
groom,groomed
mask,masked
mash,mashed
mimic,mimicked
mass,massed
configure,configured
retch,retched
consider,considered
degas,degassed
beware,bewared
neigh,neighed
importune,importuned
tinsel,tinselled
overexpose,overexposed
smile,smiled
bechance,bechanced
blockade,blockaded
amerce,amerced
condition,conditioned
cable,cabled
recommit,recommitted
heist,heisted
laud,lauded
sand,sanded
adjust,adjusted
harry,harried
sync,synced
disconnect,disconnected
burnish,burnished
pass,passed
canvass,canvassed
recalculate,recalculated
quicken,quickened
scupper,scuppered
clock,clocked
transpire,transpired
section,sectioned
resume,resumed
nurse,nursed
perforate,perforated
contrast,contrasted
hash,hashed
empower,empowered
hasp,hasped
overawe,overawed
razz,razzed
schuss,schussed
experience,experienced
skyrocket,skyrocketed
pick,picked
raze,razed
smuggle,smuggled
underrate,underrated
depart,departed
vie,vied
uprise,uprose
regiment,regimented
select,selected
enliven,enlivened
indispose,indisposed
maltreat,maltreated
pearl,pearled
automate,automated
adjoin,adjoined
teem,teemed
signpost,signposted
company,companied
doom,doomed
unhinge,unhinged
kibosh,kiboshed
fleece,fleeced
apportion,apportioned
malt,malted
chisel,chiselled
learn,learnt
blarney,blarneyed
scramble,scrambled
desquamate,desquamated
connive,connived
prompt,prompted
gallop,galloped
scab,scabbed
accept,accepted
overstrain,overstrained
shush,shushed
sense,sensed
scar,scarred
dress,dressed
scat,scatted
condemn,condemned
dazzle,dazzled
treadle,treadled
enlarge,enlarged
cling,clung
clink,clinked
sprinkle,sprinkled
anoint,anointed
brachiate,brachiated
plane,planed
waver,wavered
plank,planked
misapprehend,misapprehended
refuse,refused
resemble,resembled
register,registered
pucker,puckered
denude,denuded
wrench,wrenched
trellis,trellised
pant,panted
parboil,parboiled
televise,televised
trade,traded
dawdle,dawdled
brim,brimmed
coarsen,coarsened
bypass,bypassed
sauce,sauced
ally,allied
propose,proposed
consign,consigned
respire,respired
skipper,skippered
misuse,misused
speculate,speculated
harrow,harrowed
detoxify,detoxified
knight,knighted
found,found
reduce,reduced
police,policed
scribe,scribed
terrify,terrified
research,researched
salute,saluted
unbuckle,unbuckled
disfigure,disfigured
palter,paltered
qualify,qualified
murmur,murmured
imagine,imagined
dehorn,dehorned
reproach,reproached
lucubrate,lucubrated
catenate,catenated
sicken,sickened
castle,castled
clump,clumped
adduct,adducted
major,majored
purport,purported
number,numbed
adduce,adduced
sequester,sequestered
glitter,glittered
differ,differed
jet,jetted
invalid,invalided
swipe,swiped
saint,sainted
aver,averred
unbolt,unbolted
gnash,gnashed
discombobulate,discombobulated
crop,cropped
ingurgitate,ingurgitated
consult,consulted
stifle,stifled
grace,graced
truckle,truckled
frock,frocked
postdate,postdated
defect,defected
waft,wafted
unsnarl,unsnarled
caress,caressed
conjugate,conjugated
sell,sold
shrivel,shrivelled
ratiocinate,ratiocinated
tarnish,tarnished
trowel,trowelled
distemper,distempered
brace,braced
pother,pothered
play,played
hurtle,hurtled
yawp,yawped
yawn,yawned
yawl,yawled
plan,planned
wive,wived
oyster,oystered
seize,seized
covet,coveted
cover,covered
administrate,administrated
barrel,barrelled
reheat,reheated
bulletin,bulletined
despise,despised
ovulate,ovulated
affix,affixed
misdate,misdated
desolate,desolated
freight,freighted
coinsure,coinsured
accompany,accompanied
impact,impacted
factor,factored
foreordain,foreordained
scuff,scuffed
resent,resented
remedy,remedied
twill,twilled
granulate,granulated
compass,compassed
ulcerate,ulcerated
transship,transshipped
cry,cried
sojourn,sojourned
cease,ceased
obscure,obscured
rivet,riveted
sew,sewed
set,set
unpick,unpicked
overwhelm,overwhelmed
jade,jaded
nibble,nibbled
sex,sexed
see,saw
backfire,backfired
contour,contoured
electioneer,electioneered
shower,showered
deactivate,deactivated
knap,knapped
beatify,beatified
kneel,knelt
mildew,mildewed
espouse,espoused
disallow,disallowed
blot,blotted
deracinate,deracinated
last,lasted
scamp,scamped
lash,lashed
approve,approved
vesiculate,vesiculated
load,loaded
loaf,loafed
dizen,dizened
bell,belled
loan,loaned
hollow,hollowed
scallop,scalloped
church,churched
underlay,underlaid
belt,belted
devil,deviled
churr,churred
quench,quenched
veneer,veneered
firm,firmed
champion,championed
fire,fired
infect,infected
remark,remarked
reassert,reasserted
fund,funded
engage,engaged
awake,awoke
deport,deported
funk,funked
budget,budgeted
admire,admired
swim,swam
pound,pounded
comport,comported
swage,swaged
vow,vowed
triple,tripled
vanish,vanished
frown,frowned
seel,seeled
decoy,decoyed
shorten,shortened
survey,surveyed
educe,educed
holystone,holystoned
commune,communed
bestrew,bestrewed
teeter,teetered
alert,alerted
uncoil,uncoiled
shrive,shrove
nickname,nicknamed
implement,implemented
expend,expended
concrete,concreted
comprise,comprised
emblazon,emblazoned
fluoresce,fluoresced
salve,salved
derange,deranged
disobey,disobeyed
format,formatted
couple,coupled
indite,indited
intuit,intuited
quest,quested
blackjack,blackjacked
outstay,outstayed
towel,towelled
abduct,abducted
bruit,bruited
constipate,constipated
continue,continued
calcine,calcined
disorder,disordered
crescendo,crescendoed
gargle,gargled
spring,sprung
bounce,bounced
palm,palmed
pall,
sight,sighted
sprint,sprinted
pale,paled
untangle,untangled
disinfest,disinfested
twinkle,twinkled
behave,behaved
osculate,osculated
be,were
respite,respited
carol,carolled
certificate,certificated
coexist,coexisted
ambush,ambushed
frizzle,frizzled
repair,repaired
reverence,reverenced
recreate,recreated
appropriate,appropriated
blench,blenched
span,spanned
traduce,traduced
sock,socked
submit,submitted
occupy,occupied
spay,spayed
mishandle,mishandled
suit,suited
spar,sparred
blueprint,blueprinted
encipher,enciphered
litigate,litigated
tally,tallied
slump,slumped
link,linked
line,lined
harangue,harangued
up,upped
slander,slandered
dropkick,dropkicked
mature,matured
dehumidify,dehumidified
reconcile,reconciled
pencil,pencilled
influence,influenced
haunt,haunted
snaffle,snaffled
char,charred
chap,chapped
muckrake,muckraked
chaw,chawed
chat,chatted
copulate,copulated
retrace,retraced
scrape,scraped
mistime,mistimed
forebode,foreboded
victual,victualled
swirl,swirled
deviate,deviated
scrub,scrubbed
besiege,besieged
oblige,obliged
land,landed
overtop,overtopped
age,aged
crease,creased
feud,feuded
disencumber,disencumbered
crinkle,crinkled
menace,menaced
essay,essayed
code,coded
piddle,piddled
scratch,scratched
broaden,broadened
soften,softened
toggle,toggled
gossip,gossipped
moon,mooned
send,sent
mimeograph,mimeographed
yaup,yauped
dislike,disliked
unzip,unzipped
garden,gardened
torture,tortured
nonplus,nonplussed
snowshoe,snowshoed
promise,promised
wipe,wiped
marry,married
try,tried
race,raced
pledge,pledged
ligate,ligated
tittup,tittupped
crook,crooked
imply,implied
croon,crooned
pour,poured
index,indexed
twine,twined
reforest,reforested
birr,birred
glissade,glissaded
throb,throbbed
birl,birled
proffer,proffered
unmask,unmasked
cosset,cosseted
let,let
reduplicate,reduplicated
denitrify,denitrified
playact,playacted
revile,reviled
receive,received
screech,screeched
disenfranchise,disenfranchised
defeat,defeated
rive,rived
recriminate,recriminated
countervail,countervailed
sire,sired
cuckold,cuckolded
extricate,extricated
repugn,repugned
extirpate,extirpated
mortify,mortified
zip,zipped
levant,levanted
duplicate,duplicated
doubt,doubted
confiscate,confiscated
shipwreck,shipwrecked
unplug,unplugged
rubbish,rubbished
baby,babied
vacillate,vacillated
entangle,entangled
pout,pouted
challenge,challenged
inculpate,inculpated
reproduce,reproduced
retell,retold
thin,thinned
drill,drilled
scatter,scattered
wedge,wedged
pawn,pawned
process,processed
lock,locked
slim,slimed
spruce,spruced
slit,slit
bend,bent
slip,slipped
martyr,martyred
trumpet,trumpeted
weaken,weakened
delay,delayed
opine,opined
smut,smutted
halter,halted
await,awaited
jumpstart,jumpstarted
cabbage,cabbaged
hawk,hawked
autograph,autographed
counter,countered
allot,allotted
allow,allowed
lactate,lactated
alloy,alloyed
presuppose,presupposed
incandesce,incandesced
understate,understated
mute,muted
move,moved
perfect,perfected
decay,decayed
dispose,disposed
interlink,interlinked
shudder,shuddered
prosper,prospered
belch,belched
earn,earned
launder,laundered
dock,docked
sandpaper,sandpapered
kiss,kissed
cage,caged
intromit,intromitted
merge,merged
effuse,effused
scorch,scorched
bump,bumped
variegate,variegated
tack,tacked
castigate,castigated
hackle,hackled
wander,wandered
witness,witnessed
burke,burked
lob,lobbed
shut,shut
wallpaper,wallpapered
perish,perished
expurgate,expurgated
baa,baaed
decoct,decocted
graze,grazed
tempt,tempted
shun,shunned
embarrass,embarrassed
countermine,countermined
spill,spilt
scare,scared
scarf,scarfed
scend,sended
scent,scented
prank,pranked
dilapidate,dilapidated
stomach,stomached
aerate,aerated
chagrin,chagrined
barnstorm,barnstormed
burlesque,burlesqued
vouch,vouched
thresh,threshed
steel,steeled
beseem,beseemed
bother,bothered
intertwine,intertwined
disband,disbanded
unman,unmanned
amble,ambled
misunderstand,misunderstood
prefabricate,prefabricated
beggar,beggared
glaciate,glaciated
gentle,gentled
cantilever,cantilevered
outplay,outplayed
jug,jugged
heft,hefted
soak,soaked
lilt,lilted
cozen,cozened
soap,soaped
soar,soared
voyage,voyaged
cipher,ciphered
segment,segmented
reignite,reignited
enlist,enlisted
unscramble,unscrambled
brew,brewed
overrate,overrated
terminate,terminated
dissociate,dissociated
bring,brought
brine,brined
rouge,rouged
rough,roughed
redirect,redirected
foredoom,foredoomed
disillusion,disillusioned
promote,promoted
typewrite,typewrote
conciliate,conciliated
transfix,transfixed
jar,jarred
irk,irked
tape,taped
unhallow,unhallowed
anneal,annealed
jab,jabbed
hope,hoped
handle,handled
wiggle,wiggled
rubricate,rubricated
wring,wrung
smash,smashed
dishearten,disheartened
rappel,rappelled
stuff,stuffed
rein,reined
exude,exuded
withstand,withstood
frame,framed
sclaff,sclaffed
incise,incised
airmail,airmailed
wire,wired
cense,censed
unravel,unravelled
destine,destined
corrode,corroded
browbeat,browbeat
keynote,keynoted
interpolate,interpolated
craunch,craunched
drum,drummed
drub,drubbed
ramp,ramped
drug,drugged
volley,volleyed
ticktock,ticktocked
roughen,roughened
conclude,concluded
revamp,revamped
typify,typified
lustrate,lustrated
indict,indicted
jubilate,jubilated
elute,eluted
reexamine,reexamined
quaver,quavered
mismanage,mismanaged
entitle,entitled
feather,feathered
waste,wasted
deflower,deflowered
ballast,ballasted
crisscross,crisscrossed
misguide,misguided
banish,banished
afforest,afforested
bespangle,bespangled
fornicate,fornicated
maul,mauled
groin,groined
snack,snacked
eyeball,eyeballed
nictitate,nictitated
site,sited
lust,lusted
overspend,overspent
conserve,conserved
ransom,ransomed
tattoo,tattooed
dilate,dilated
incarnadine,incarnadined
romance,romanced
dam,dammed
covenant,covenanted
ball,balled
dusk,dusked
bale,baled
drink,drank
tergiversate,tergiversated
dust,dusted
expand,expanded
audit,audited
chondrify,chondrified
fascinate,fascinated
trudge,trudged
undernourish,undernourished
enrage,enraged
command,commanded
circumstantiate,circumstantiated
diversify,diversified
snake,snaked
restructure,restructured
flesh,fleshed
overcloud,overclouded
glut,glutted
glue,glued
permute,permuted
web,webbed
wed,wedded
upraise,upraised
arrest,arrested
combine,combined
exempt,exempted
syncopate,syncopated
magnify,magnified
taunt,taunted
haul,hauled
supervise,supervised
atrophy,atrophied
tick,ticked
crisp,crisped
redound,redounded
garage,garaged
stagger,staggered
imprison,imprisoned
become,became
sprain,sprained
flush,flushed
wisecrack,wisecracked
ballot,balloted
transport,transported
avoid,avoided
demarcate,demarcated
pilfer,pilfered
schedule,scheduled
cumber,cumbered
pressure,pressured
pupate,pupated
belay,belayed
subsume,subsumed
stage,staged
overreach,overreached
ingest,ingested
encamp,encamped
revise,revised
rectify,rectified
stultify,stultified
vituperate,vituperated
assess,assessed
muck,mucked
reactivate,reactivated
overestimate,overestimated
imbibe,imbibed
function,functioned
funnel,funnelled
frisk,frisked
dabble,dabbled
grate,grated
count,counted
compute,computed
smooth,smoothed
convince,convinced
freewheel,freewheeled
enthrone,enthroned
spreadeagle,spreadeagled
appraise,appraised
kowtow,kowtowed
fractionate,fractionated
gasconade,gasconaded
contribute,contributed
denote,denoted
ink,inked
insolate,insolated
engorge,engorged
flummox,flummoxed
furl,furled
decarbonate,decarbonated
stockpile,stockpiled
disforest,disforested
behold,beheld
profiteer,profiteered
dismantle,dismantled
crosscut,crosscut
chance,chanced
pacify,pacified
scintillate,scintillated
repeal,repealed
veil,veiled
vein,veined
ghost,ghosted
rule,ruled
compete,competed
pension,pensioned
abhor,abhorred
buoy,buoyed
brevet,brevetted
divaricate,divaricated
copy,copied
rekindle,rekindled
defraud,defrauded
aquatint,aquatinted
spew,spewed
excoriate,excoriated
bludgeon,bludgeoned
tickle,tickled
bike,biked
daze,dazed
dapple,dappled
restock,restocked
whack,whacked
lack,lacked
denudate,denudated
blanket,blanketed
distort,distorted
begrudge,begrudged
whisk,whisked
whish,whished
exaggerate,exaggerated
pinch,pinched
diffract,diffracted
undersign,undersigned
reinvent,reinvented
triumph,triumphed
chew,chewed
disbud,disbudded
horn,horned
blaspheme,blasphemed
guillotine,guillotined
levitate,levitated
deliberate,deliberated
toll,tolled
unhand,unhanded
crunch,crunched
redeploy,redeployed
conglomerate,conglomerated
poleaxe,poleaxeed
burgle,burgled
study,studied
reappraise,reappraised
smoke,smoked
bunker,bunkered
maunder,maundered
secure,secured
nauseate,nauseated
thrust,thrust
glance,glanced
total,totalled
plot,plotted
reflate,reflated
plop,plopped
acculturate,acculturated
motivate,motivated
insult,insulted
plod,plodded
beeswax,beeswaxed
vegetate,vegetated
canulate,canulated
inflect,inflected
ascribe,ascribed
award,awarded
scribble,scribbled
overrun,overran
word,worded
err,erred
work,worked
eclipse,eclipsed
worm,wormed
cuddle,cuddled
mortar,mortared
elbow,elbowed
versify,versified
quiver,quivered
pollute,polluted
flunk,flunked
federate,federated
repot,repotted
impair,impaired
betide,betided
secern,secerned
farce,farced
provide,provided
verify,verified
photocopy,photocopied
disappear,disappeared
interview,interviewed
disappoint,disappointed
beach,beached
underexpose,underexposed
countersink,countersank
deliquesce,deliquesced
lam,lammed
aggrade,aggraded
ladder,laddered
lag,lagged
fat,fatted
arch,arched
scull,sculled
invaginate,invaginated
alienate,alienated
appreciate,appreciated
greet,greeted
stimulate,stimulated
fan,fanned
remonstrate,remonstrated
order,ordered
devote,devoted
consent,consented
natter,nattered
misconduct,misconducted
estrange,estranged
fag,fagged
strafe,strafed
bespeak,bespoke
precipitate,precipitated
shear,sheared
fragment,fragmented
collide,collided
break,broke
band,banded
bang,banged
bream,breamed
declutch,declutched
bread,breaded
crock,crocked
absolve,absolved
misbehave,misbehaved
overflow,overflowed
flock,flocked
network,networked
engrave,engraved
kip,kipped
veto,vetoed
putty,puttied
decoke,decoked
mutilate,mutilated
drench,drenched
renew,renewed
oppose,opposed
recondition,reconditioned
regress,regressed
disafforest,disafforested
render,rendered
skive,skived
jackknife,jackknifed
hamstring,hamstrung
guzzle,guzzled
disembark,disembarked
tangle,tangled
illustrate,illustrated
centrifuge,centrifuged
vibrate,vibrated
compromise,compromised
fumble,fumbled
inflate,inflated
garble,garbled
totter,tottered
scant,scanted
tithe,tithed
rebuff,rebuffed
